Session,Date and Time
Week 5: Coding and English Part 1,Thursday 29 August 5:30pm - 7:30pm
Week 6: Coding and English Part 2,Thursday 5 September 5:30pm - 7:30pm
Week 7: Coding and Mathematics Part 1,Thursday 12 September 5:30pm - 7:30pm
Week 8: Coding and Mathematics Part 2,Thursday 19 September 5:30pm - 7:30pm
